,Apex Class,Covered Lines Count,Uncovered Lines Count,Coverage Percent
0,AccountTestDataFactory,110.0,0.0,100
1,ProductTestDataFactory,73.0,0.0,100
2,OpportunityTestDataFactory,186.0,1.0,99.47
3,VlocityPriceListTestDataFactory,54.0,0.0,100
4,QuoteTestDataFactory,76.0,4.0,95
5,UserTestDataFactory,23.0,0.0,100
6,Serv_RequestWrapper,0.0,0.0,0
7,Utility,3.0,12.0,20
8,WSRestCalloutClass,41.0,6.0,87.23
9,Serv_QuoteRecEvent,16.0,2.0,88.89
10,Serv_Callout,68.0,70.0,49.28
11,Serv_CartEvent,0.0,23.0,0
12,Serv_ResponseWrapper,0.0,2.0,0
13,ErrorHandlerUtility,38.0,4.0,90.48
14,LeadMarketUpdate,15.0,0.0,100
15,LeadTestDataFactory,26.0,2.0,92.86
16,LeadTriggerHandler,11.0,4.0,73.33
17,LeadTrigger,1.0,0.0,100
18,CustomPricingPlanStepImpl,22.0,1.0,95.65
19,SyncQuoteToOptyController,0.0,18.0,0
20,WebServiceCallout_MockResponseUtility,16.0,0.0,100
21,PricingPlanHelper,494.0,113.0,81.38
22,CpqAppHandlerHookImplementation,0.0,16.0,0
23,ContactTestDataFactory,81.0,1.0,98.78
24,AddressService,42.0,6.0,87.5
25,Address_PremiseRecEvent,38.0,5.0,88.37
26,wsCoxAddressinterface,70.0,8.0,89.74
27,OpportunityDuplicationAfterInsert,0.0,22.0,0
28,OpptyDuplicateCheck,0.0,60.0,0
29,DuplicateAfterInsert,16.0,0.0,100
30,AccountTriggerHandler,18.0,2.0,90
31,BooleanExpression,124.0,2.0,98.41
32,ContactDuplicationAfterInsert,25.0,0.0,100
33,DuplicationService,157.0,54.0,74.41
34,AccountDuplicationAfterInsert,22.0,0.0,100
35,ContactTriggerHandler,20.0,0.0,100
36,OpportunityTriggerhandler,7.0,0.0,100
37,DuplicationServiceBulkified,119.0,48.0,71.26
38,ContactDuplicateCheck,54.0,0.0,100
39,AccountDuplicateCheck,45.0,9.0,83.33
40,AccountTrigger,1.0,0.0,100
41,ContactTrigger,1.0,0.0,100
42,OpportunityTrigger,1.0,0.0,100
43,SFDC_Constant,0.0,0.0,0
44,DuplicateExceptions,6.0,0.0,100
45,QuoteBeforeInsertMethods,47.0,9.0,83.93
46,QuoteTriggerHandler,11.0,2.0,84.62
47,TriggerDispatcher,43.0,7.0,86
48,CPQ_Constant,0.0,0.0,0
49,QuoteTrigger,1.0,0.0,100
50,CIRTrigger,1.0,0.0,100
51,InvokeSync,7.0,0.0,100
52,CIRTestDataFactory,27.0,0.0,100
53,CIRTriggerhandler,8.0,10.0,44.44
54,UpdateCIRFromContact,25.0,2.0,92.59
55,,,,
56,,,,
57,,,,
58,Overall Org Coverage,81.0,,
